"Citation: Samuel H. Williamson, 'Daily Closing Value of the Dow Jones Average, 1885 to Present,' MeasuringWorth, 2026. "
"Date","DJIA"
"12/31/1914","54.58"
"1/2/1915","54.63"
"1/4/1915","55.44"
"1/5/1915","55.5"
"1/6/1915","55.4"
"1/7/1915","56.08"
"1/8/1915","56.55"
"1/9/1915","56.54"
"1/11/1915","57.37"
"1/12/1915","57.44"
"1/13/1915","57.35"
"1/14/1915","57.51"
"1/15/1915","57.9"
"1/16/1915","57.19"
"1/18/1915","58.12"
"1/19/1915","58.11"
"1/20/1915","58.42"
"1/21/1915","58.51"
"1/22/1915","58.21"
"1/23/1915","58.52"
"1/25/1915","58.06"
"1/26/1915","58.24"
"1/27/1915","57.07"
"1/28/1915","57.25"
"1/29/1915","56.54"
"1/30/1915","57.16"
"2/1/1915","55.59"
"2/2/1915","57.26"
"2/3/1915","56.9"
"2/4/1915","56.83"
"2/5/1915","56.16"
"2/6/1915","56.33"
"2/8/1915","56.31"
"2/9/1915","56.85"
"2/10/1915","57.05"
"2/11/1915","57.83"
"2/13/1915","57.2"
"2/15/1915","57.02"
"2/16/1915","56.64"
"2/17/1915","55.7"
"2/18/1915","55.53"
"2/19/1915","55.38"
"2/20/1915","55.2"
"2/23/1915","54.4"
"2/24/1915","54.22"
"2/25/1915","54.61"
"2/26/1915","55.02"
"2/27/1915","55.18"
"3/1/1915","55.29"
"3/2/1915","55.66"
"3/3/1915","55.88"
"3/4/1915","56"
"3/5/1915","56.51"
"3/6/1915","56.41"
"3/8/1915","56.98"
"3/9/1915","56.88"
"3/10/1915","56.66"
"3/11/1915","56.86"
"3/12/1915","56.66"
"3/13/1915","56.35"
"3/15/1915","56.7"
"3/16/1915","56.59"
"3/17/1915","56.67"
"3/18/1915","56.57"
"3/19/1915","56.98"
"3/20/1915","57.4"
"3/22/1915","58.1"
"3/23/1915","59.1"
"3/24/1915","59.26"
"3/25/1915","59.25"
"3/26/1915","59.51"
"3/27/1915","59.6"
"3/29/1915","60.13"
"3/30/1915","61.3"
"3/31/1915","60.83"
"4/1/1915","61.05"
"4/3/1915","61.49"
"4/5/1915","62.29"
"4/6/1915","62.78"
"4/7/1915","62.55"
"4/8/1915","63.15"
"4/9/1915","65.02"
"4/10/1915","65.15"
"4/12/1915","64.66"
"4/13/1915","65.54"
"4/14/1915","66.14"
"4/15/1915","67.42"
"4/16/1915","69.36"
"4/17/1915","69.6"
"4/19/1915","67.86"
"4/20/1915","68.64"
"4/21/1915","68.43"
"4/22/1915","68.2"
"4/23/1915","68.65"
"4/24/1915","69.64"
"4/26/1915","68.97"
